Adj Close,SMA_14,EMA_14,RSI,BB_upper,BB_middle,BB_lower,USD_JPY,VIX,Gold,Oil,Monthly_Return
-0.750469310141023,-0.8430145600272558,-0.8438127045613628,0.18923038602192377,-0.8284956522685797,-0.8469509262612858,-0.853149210141249,-0.2514911422197965,-0.7675051000180011,-0.9851582949094008,-0.750469310141023,-0.21568870259978773
-0.755162724867301,-0.8421760806750516,-0.8431098195138671,0.39597899018074445,-0.8272210315796784,-0.8461400320494983,-0.8527807312033566,-0.25003637383440713,-0.7906186379438382,-0.9816847069192809,-0.755162724867301,-0.03600559732556348
-0.7507822084347247,-0.8416294850092215,-0.8424509818948338,0.41040813214455074,-0.8261784948693325,-0.845404228215471,-0.8523387746907103,-0.2674943344226519,-0.7718558775257636,-0.9827109860667512,-0.7507822084347247,-0.13244260905178462
-0.7700250059030236,-0.8545212406352649,-0.8550565264777703,-0.2072421989004789,-0.8392292994852744,-0.8530900681172653,-0.8549164984133513,-0.20008716770895196,-0.6712440828270593,-0.9857898476013531,-0.7700250059030236,-0.12853271747890285
-0.7712765990778303,-0.8555456853778651,-0.8558705466175611,-0.3096266284449589,-0.8398240401719176,-0.8541019911140811,-0.8563158592269688,-0.19620772368428252,-0.6543847810854607,-0.986974026967907,-0.7712765990778303,-0.2138742425010486
-0.7801939915709628,-0.8564953250089076,-0.8561974992600736,-0.18235873456887064,-0.8401598778754846,-0.8547644046867873,-0.8572823518999249,-0.1889335117755495,-0.6628144060235805,-0.9880003302075684,-0.7801939915709628,-0.07503948223553754
-0.793491870657048,-0.8568038943299541,-0.8563214842902493,-0.13040639530382436,-0.8397579764928434,-0.8555205357519313,-0.8591264120761157,-0.19160071047602578,-0.6766825287790827,-0.987763479878943,-0.793491870657048,-0.11316509894100218
-0.7903629473992784,-0.8574157204240336,-0.8574250561679495,-0.36509433416615455,-0.8406814658440538,-0.8565291284032056,-0.8602091703034025,-0.20008716770895196,-0.6309993649475776,-0.9887897831186043,-0.7903629473992784,-0.3107349710286058
-0.774249073188749,-0.8584318808175679,-0.8587201797317294,-0.4319172314320907,-0.8418981227952751,-0.8576394085558625,-0.8612123510978227,-0.19935978351625705,-0.5953773027879044,-0.9881582063344609,-0.774249073188749,-0.19966273406900206
-0.7543804492934232,-0.8596581862555128,-0.8605797590107842,-0.5611466287829722,-0.8445571598211901,-0.858896811536485,-0.8611397802665017,-0.22457681714473443,-0.5725356949394723,-0.9863424742759547,-0.7543804492934232,-0.27024319089267
-0.7543804492934232,-0.8607062521793385,-0.8625599487147861,-0.6184184263090055,-0.84726172590074,-0.8603403829722869,-0.8613849307270662,-0.22409195601323573,-0.526036740875752,-0.9878424299884848,-0.7543804492934232,-0.20645701077089265
-0.7082290550384996,-0.8627757870124177,-0.8653618595610848,-0.7608805127467093,-0.8515330608436242,-0.8622842792788391,-0.8611212560068287,-0.22384943295203952,-0.41889872805004513,-0.9831846626318109,-0.7082290550384996,-0.33645797286350393
-0.7246558275427306,-0.8639143013343432,-0.866375703305357,-0.3398395722684253,-0.8529139262875107,-0.8633004539930251,-0.8617872022236105,-0.22506186326712596,-0.4980285652873424,-0.9863424742759547,-0.7246558275427306,0.12132704668480165
-0.755162724867301,-0.8646325336320364,-0.8670551495316572,-0.28936771165940867,-0.8539617375802583,-0.8640795294987372,-0.8623080152012375,-0.21633288297300313,-0.5200543829035594,-0.9870529770774489,-0.755162724867301,-0.10481072862627738
-0.7575093725511927,-0.866063653421053,-0.868739741613501,-0.4575918802037584,-0.856258402173474,-0.8654306727921524,-0.8627589248730521,-0.2199698039364768,-0.4915023990256988,-0.987368753423425,-0.7575093725511927,-0.33589108349482466
-0.7481226624571313,-0.8678937768161854,-0.8703590877945668,-0.47974902509234063,-0.858565247161759,-0.8667121797726257,-0.8630653197226591,-0.22603158553012337,-0.46757312273300566,-0.9880003302075684,-0.7481226624571313,-0.1696405353878961
-0.7575093725511927,-0.8686279467579199,-0.870148793610765,-0.10542587081169819,-0.8588950241721891,-0.8671186359660872,-0.8635416495483332,-0.20978605525696548,-0.5662814587552336,-0.9881582063344609,-0.7575093725511927,0.1557054867856033
-0.736389244999931,-0.8692982834614518,-0.8697772861244184,-0.068041473044407,-0.8587619219684939,-0.8677659752681173,-0.864921348775298,-0.19766249206967235,-0.5893949966810708,-0.9872898033138833,-0.736389244999931,-0.10702179103639209
-0.7453066374930635,-0.8696334497970706,-0.8692560870676482,-0.027726422832228925,-0.8586418238053142,-0.8682138432743403,-0.8659023326379245,-0.21027110137935656,-0.5771584025246397,-0.9881582063344609,-0.7453066374930635,-0.10540722895409374
-0.7509386874211992,-0.8703304016605,-0.8691032389460207,-0.08631629848128908,-0.858787676827646,-0.8685525800646705,-0.8664209847855375,-0.21924241974378278,-0.5883072763714506,-0.9881582063344609,-0.7509386874211992,-0.19290108875603137
-0.7573529532439655,-0.8716710871644475,-0.8700166914593752,-0.2703936117879986,-0.8596435875052297,-0.8693768084950737,-0.867210319383003,-0.21269577701863707,-0.5238613521218708,-0.991237067869063,-0.7573529532439655,-0.32512865249708955
-0.7449937391993617,-0.8724158983313874,-0.8706887830536774,-0.2423800341996345,-0.8597704389314956,-0.8703779132174001,-0.8690301409230312,-0.2119683928259426,-0.4702923197763379,-0.9922633711087242,-0.7449937391993617,-0.11888236609279583
-0.7614205117035928,-0.8725382542759259,-0.8704445028768789,-0.05887155840113478,-0.8594981867863165,-0.8709010513116782,-0.8703004960197963,-0.20493670397840535,-0.5287559897844433,-0.9926580975642422,-0.7614205117035928,0.00854987857707143
-0.7596996009278572,-0.8720541047389878,-0.8698343415864473,0.021829164547992885,-0.8590025613981516,-0.8712999910507482,-0.8715409710887878,-0.19451043223769737,-0.5562203052180428,-0.9927370476737839,-0.7596996009278572,-0.07000245106834853
-0.7615769906900673,-0.8709608085676704,-0.8685335536394045,0.16575766473764042,-0.8590969459780886,-0.8712454204508492,-0.8713462033815769,-0.19863239932356258,-0.6059823683452643,-0.9922633711087242,-0.7615769906900673,-0.005131935398818455
-0.7535982333987926,-0.8693701006427794,-0.8675606215239967,0.13154909291916672,-0.8588003162367679,-0.8713922123836687,-0.8719104403204807,-0.2117258697647464,-0.5883072763714506,-0.9930528240197601,-0.7535982333987926,-0.1671151021262396
-0.763923638373959,-0.8684949314428505,-0.8666426737779473,0.14603442306979186,-0.8583607363669351,-0.8715709813387756,-0.8726714912264766,-0.21415054540402645,-0.5980965516965956,-0.9926580975642422,-0.763923638373959,-0.12756983487841536
