Price,Adj Close,SMA_14,EMA_14,RSI,MACD,USD_JPY,VIX,Monthly_Return,Sentiment_Score,Target
2011-09-01,0.013116493192796952,0.0,0.0,0.23822911464456475,0.07123331540737654,0.013116493192796952,0.7597092512818505,0.29980935957181576,0.5038851244406337,1.0
2011-10-01,0.0,0.00015880857904687108,0.00011973740709551005,0.3992885106123004,0.07136721736467568,0.0,0.46445601945660187,0.48514165584899327,0.5038851244406337,1.0
2011-11-01,0.028408378099130216,0.00035679754375679985,0.00032993791600802007,0.48319705202436614,0.07168666298513873,0.028408378099130216,0.4153985628650274,0.40921993789319366,0.5038851244406337,0.0
2011-12-01,0.02455658161433749,0.0004647039523304553,0.00038010305543254973,0.32662817090231466,0.07162605021064501,0.02455658161433749,0.3154667084495717,0.20344100207992338,0.5038851244406337,1.0
2012-01-01,0.007933902145253358,0.0003641840607426054,0.00043968577064629286,0.34038847095481695,0.07159249131769706,0.007933902145253358,0.22552805247145033,0.32697651899169045,0.5038851244406337,1.0
2012-02-01,0.06065576315273835,0.00047305390683085365,0.0006283854620530186,0.44682805030648465,0.07184520497025425,0.06065576315273835,0.20258914233901934,0.43854962322084046,0.5038851244406337,1.0
2012-03-01,0.09111154003225497,0.0006840494215530164,0.0009128806106083178,0.5235150864946226,0.07228408064031837,0.09111154003225497,0.13604359931193363,0.40912949893582795,0.5038851244406337,0.0
2012-04-01,0.058992147911796855,0.0008324207225744,0.001029645284812252,0.3829918004086802,0.07231506838295294,0.058992147911796855,0.17351803930281753,0.21813280665486823,0.5038851244406337,0.0
2012-05-01,0.041486502700982864,0.0008605214332544102,0.0010162023918026467,0.27739855190479623,0.07205930578256382,0.041486502700982864,0.33045648444592524,0.2188091975951325,0.5038851244406337,1.0
2012-06-01,0.05208199397173796,0.0009197735869410683,0.001061081635164103,0.3196747603333814,0.07195637575456336,0.05208199397173796,0.17192822113946124,0.3633255689408795,0.5038851244406337,0.0
2012-07-01,0.030212678173534013,0.0008760972839664365,0.000977758585243264,0.21590306486761357,0.07158319287381673,0.030212678173534013,0.21394503587075966,0.20682882772055902,0.5038851244406337,1.0
